               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048865,            0.052771,             0.01654,             0.72802,             0.43265,             0.46835,             0.30612,            0.034736,            0.095511,            0.011239,            0.070011,           0.0033321,           0.0033321
                   1,            0.032925,            0.043095,           0.0071188,              0.7753,             0.45453,             0.51354,             0.35288,            0.032333,            0.096856,            0.010487,            0.038692,           0.0053456,           0.0053456
                   2,            0.028356,            0.040008,           0.0054827,             0.77632,             0.49331,              0.5597,             0.39473,            0.031382,             0.10079,           0.0093114,            0.006052,           0.0060392,           0.0060392
                   3,            0.024331,            0.037023,           0.0043623,             0.65342,              0.5111,              0.5454,             0.39469,             0.03153,             0.10742,           0.0093149,             0.00406,             0.00406,             0.00406
                   4,            0.023359,            0.035646,           0.0037402,             0.60332,             0.54911,             0.55686,             0.40643,             0.03121,             0.10938,           0.0091676,             0.00406,             0.00406,             0.00406
